,Period,Year,Month,Location,Gender,Age-group,Occupation,Income Level,"Personal Hygiene (eg Soap, toothpaste)",Cleaning products,Long lasting (dry) groceries,"Fresh groceries (Fruits, vegetables)",Medicines/Natural remedies,Alcohol beverages,Skin care (eg. Body lotion),Hair care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Electronics (eg Phone, Computers)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime/Data bundles
186,2024-12-20,2024,12,N22,Female,Millennials,Salaried employee,Middle Income,Less,Same,Less,Less,Same,Same,Same,Same,Same,Less,Same,Same,More
187,2024-12-20,2024,12,N22,Female,Millennials,Salaried employee,Middle Income,Same,Less,Same,Same,Same,Less,Same,Same,Same,Less,Less,Same,Same
188,2024-12-20,2024,12,N22,Female,Millennials,Salaried employee,Middle Income,Same,Less,Less,Same,Same,Less,Same,Same,Less,Same,Same,Same,More
189,2024-12-20,2024,12,N22,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,More,Same,Same,More,Less,Less,Less,Less,More,More
190,2024-12-20,2024,12,N22,Female,Gen Z,Salaried employee,Low Income,Same,Less,Less,Same,Same,Less,Same,Same,Less,Not sure,Same,Same,More
191,2024-12-20,2024,12,N22,Male,Millennials,Business owner,Middle Income,Same,Less,Less,Same,More,Less,Less,Less,Less,Less,Less,Less,Less
192,2024-12-20,2024,12,N22,Male,Millennials,Unemployed,Low Income,Less,Less,Less,Same,Less,Not sure,Less,Less,Less,Less,Less,Same,Less
193,2024-12-20,2024,12,N22,Female,Millennials,Self employed/Contractor,Low Income,Same,Less,Same,Same,Less,Less,Same,Same,Less,Less,Less,Same,Same
194,2024-12-20,2024,12,N22,Female,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,More,More,More,More,More,Less,More,More,More,More
195,2024-12-20,2024,12,N25,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Not sure,Same,Not sure,Less,Less,Same,Same,Same
196,2024-12-20,2024,12,N25,Male,Millennials,Salaried employee,Middle Income,Same,Less,Less,Same,Less,Not sure,Less,Not sure,Less,Less,Same,Less,Same
197,2024-12-20,2024,12,N25,Female,Millennials,Salaried employee,Middle Income,Same,More,Less,Same,Not sure,Not sure,Same,Less,Less,Less,Same,Not sure,Same
198,2024-12-20,2024,12,N25,Female,Millennials,Salaried employee,Middle Income,Same,Less,Less,Same,Not sure,Not sure,Less,Less,Less,Less,Same,Less,Same
199,2024-12-20,2024,12,N25,Male,Gen Z,Salaried employee,Middle Income,Same,Same,Less,Same,Not sure,Not sure,Same,Not sure,Less,Less,Same,Less,Same
200,2024-12-20,2024,12,N25,Female,Millennials,Salaried employee,Middle Income,Same,Same,Less,Same,Less,Not sure,Same,Same,Less,Less,Same,Less,Same
201,2024-12-20,2024,12,N25,Male,Millennials,Salaried employee,Middle Income,Same,More,Not sure,Same,Not sure,Not sure,Less,Not sure,Not sure,Not sure,Same,Same,Same
202,2024-12-20,2024,12,N25,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Not sure,Same,Not sure,Less,Less,Same,Less,Same
203,2024-12-20,2024,12,N25,Male,Gen Z,Self employed/Contractor,Middle Income,Less,Less,Not sure,Same,Not sure,Not sure,Same,Not sure,Less,Less,Same,Less,More
204,2024-12-20,2024,12,N25,Male,Millennials,Self employed/Contractor,Middle Income,Same,Same,Less,Same,Less,Less,Same,Less,Less,Less,Same,Less,Same
205,2024-12-20,2024,12,N25,Female,Millennials,Business owner,Middle Income,Same,More,Less,Same,Not sure,Not sure,Same,Less,Less,Less,Less,Less,Same
206,2024-12-20,2024,12,N25,Male,Gen X,Self employed/Contractor,High Income,Same,Same,Less,More,Not sure,Same,Less,Not sure,Less,Less,Same,Less,Same
207,2024-12-20,2024,12,N25,Female,Gen Z,Self employed/Contractor,Middle Income,Same,Same,Less,Same,Not sure,Not sure,Less,Not sure,Less,Less,Same,Less,Same
208,2024-12-20,2024,12,N25,Male,Gen X,Self employed/Contractor,High Income,Same,Same,Less,Same,Not sure,Same,Same,Not sure,Same,Less,Same,Less,Same
209,2024-12-20,2024,12,N25,Male,Gen X,Self employed/Contractor,High Income,Same,More,Same,Same,Less,Not sure,Same,Not sure,Less,Less,Same,Less,Same
210,2024-12-20,2024,12,N27,Female,Gen Z,Salaried employee,Low Income,Same,Same,Not sure,Less,Same,More,Same,Same,More,Not sure,More,More,Same
211,2024-12-20,2024,12,N27,Male,Millennials,Salaried employee,Middle Income,Less,More,Less,Same,Less,Not sure,Not sure,Less,More,More,Not sure,Less,Same
212,2024-12-20,2024,12,N27,Female,Millennials,Salaried employee,Low Income,Less,Same,Less,Less,Not sure,Same,Same,Same,Less,Not sure,Same,Not sure,Not sure
213,2024-12-20,2024,12,N27,Male,Baby Boomers,Salaried employee,Middle Income,Same,Less,More,Same,Less,Not sure,Not sure,Not sure,More,Less,Less,Same,More
214,2024-12-20,2024,12,N27,Male,Gen Z,Salaried employee,Low Income,Same,Less,Same,Same,More,Same,Less,Same,More,Not sure,Not sure,Same,Same
215,2024-12-20,2024,12,N27,Male,Millennials,Salaried employee,Low Income,Less,More,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Less,Less,Same,Same
216,2024-12-20,2024,12,N27,Female,Gen X,Salaried employee,Low Income,Same,Less,Not sure,More,Not sure,Same,Not sure,Not sure,Less,Less,Less,Less,Same
217,2024-12-20,2024,12,N27,Male,Gen Z,Salaried employee,Low Income,Same,Less,Not sure,Not sure,Less,Same,Not sure,Not sure,Not sure,Not sure,Not sure,Same,Same
218,2024-12-20,2024,12,N27,Female,Millennials,Salaried employee,Low Income,Same,Not sure,Not sure,More,Not sure,Not sure,Same,Less,Less,Same,Not sure,Less,More
219,2024-12-20,2024,12,N27,Female,Gen Z,Salaried employee,Low Income,Same,More,Less,Same,Not sure,Same,Same,More,Same,Not sure,Same,Same,Same
220,2024-12-20,2024,12,N27,Male,Baby Boomers,Self employed/Contractor,Low Income,Same,Same,Not sure,More,Less,Less,Not sure,Not sure,Less,Same,Less,Same,Same
221,2024-12-20,2024,12,N27,Female,Gen X,Business owner,Middle Income,Same,More,Same,More,Not sure,More,Less,Less,Same,Not sure,Not sure,Same,Same
222,2024-12-20,2024,12,N27,Male,Millennials,Unemployed,Low Income,Same,Less,Not sure,Less,More,Same,Less,Not sure,Less,Less,Not sure,Less,Same
223,2024-12-20,2024,12,N27,Male,Gen X,Business owner,Middle Income,Same,More,Less,Same,More,Not sure,More,Same,Same,Same,Same,Same,More
224,2024-12-20,2024,12,N27,Female,Millennials,Self employed/Contractor,Middle Income,More,Less,Not sure,Less,More,More,More,Same,More,Less,More,More,More
225,2024-12-20,2024,12,N28,Male,Gen Z,Salaried employee,High Income,More,Less,Same,Same,Same,Same,Less,Less,Less,Less,Same,Same,More
226,2024-12-20,2024,12,N28,Female,Gen X,Salaried employee,Middle Income,Less,Less,Same,Less,Same,Less,Same,Same,Same,Same,Same,Same,Same
227,2024-12-20,2024,12,N28,Male,Millennials,Salaried employee,Middle Income,Same,More,More,Less,Same,Same,Less,Same,Same,Same,Same,Same,Same
228,2024-12-20,2024,12,N28,Female,Millennials,Salaried employee,High Income,Same,Less,Less,Same,Same,More,Same,Same,Same,Same,More,Same,Less
229,2024-12-20,2024,12,N28,Male,Millennials,Unemployed,Middle Income,Same,Same,More,More,More,More,More,Same,More,More,More,Same,Same
230,2024-12-20,2024,12,N28,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Less,Same,Less,Same,Same,Less,Less,Less,Same,Same
231,2024-12-20,2024,12,N28,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,More,Less,Less,Same,More,More,More,Same,Same
232,2024-12-20,2024,12,N28,Male,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Less,Less,Same,Same,More,Same,Less,Less,Less
233,2024-12-20,2024,12,N28,Male,Gen Z,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Less,Less,Same,Same,Same,Same,More
234,2024-12-20,2024,12,N28,Male,Gen Z,Business owner,High Income,Same,More,Same,Same,Same,Same,Same,Same,Same,Same,More,Same,Same
235,2024-12-20,2024,12,N28,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
236,2024-12-20,2024,12,N28,Male,Gen Z,Unemployed,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
237,2024-12-20,2024,12,N28,Male,Baby Boomers,Unemployed,Middle Income,Same,Less,Same,More,Same,Same,Less,Same,Less,Less,Same,Same,Less
238,2024-12-20,2024,12,N28,Female,Millennials,Business owner,Middle Income,Same,Less,Same,Same,Same,Same,Same,Less,Less,Less,Less,Same,Less
239,2024-12-20,2024,12,N28,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Less,Less,More,Same
240,2024-12-20,2024,12,N30,Male,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,More,More,More,More,Same,Same,Same,Same
241,2024-12-20,2024,12,N30,Female,Millennials,Salaried employee,High Income,Same,Same,More,Same,Less,Not sure,Same,Same,Less,Less,Same,Less,Same
242,2024-12-20,2024,12,N30,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Same,Same,Same,Same,Same,Same,Same
243,2024-12-20,2024,12,N30,Male,Millennials,Salaried employee,High Income,Same,Same,Same,Same,Less,Same,Same,Less,Less,Less,Less,Same,Same
244,2024-12-20,2024,12,N30,Female,Millennials,Salaried employee,Middle Income,Less,Less,Less,More,Less,Same,Same,Same,Less,Less,Same,Same,Same
245,2024-12-20,2024,12,N30,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Same,Same,Less,Less,Same,Less,Same
246,2024-12-20,2024,12,N30,Male,Millennials,Business owner,Low Income,Same,Less,More,More,Same,Not sure,Same,Same,Same,Same,Same,Same,Same
247,2024-12-20,2024,12,N30,Female,Millennials,Business owner,Low Income,Same,Same,Same,Same,Not sure,Same,Same,Same,Less,Less,Less,Same,Same
248,2024-12-20,2024,12,N30,Female,Millennials,Business owner,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
249,2024-12-20,2024,12,N30,Female,Gen Z,Self employed/Contractor,High Income,Same,Same,More,Same,Less,Not sure,Same,Same,Same,Less,Same,Less,Same
250,2024-12-20,2024,12,N30,Male,Gen Z,Student,High Income,Same,Same,Same,Same,Less,Less,Same,Less,Same,Less,Same,Less,Same
251,2024-12-20,2024,12,N30,Female,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
252,2024-12-20,2024,12,N30,Female,Millennials,Business owner,Low Income,Same,More,Same,More,Same,Not sure,Same,Same,Same,Same,Same,Same,Same
253,2024-12-20,2024,12,N30,Female,Gen X,Business owner,Low Income,Same,Same,More,More,Not sure,Not sure,Less,Same,Less,Not sure,Same,Same,Same
254,2024-12-20,2024,12,N30,Female,Gen X,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
255,2024-12-20,2024,12,N31,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Less,Less,Less,Less,Less,Less,Less
256,2024-12-20,2024,12,N31,Female,Millennials,Salaried employee,Low Income,More,Same,Same,Same,Same,Not sure,Less,Less,Less,Less,Less,Less,Less
257,2024-12-20,2024,12,N31,Male,Gen X,Salaried employee,Middle Income,More,Same,Not sure,Same,Less,Not sure,Not sure,Not sure,Less,Less,Not sure,Less,Less
258,2024-12-20,2024,12,N31,Male,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Same,Same,Same,More,More,More,More
259,2024-12-20,2024,12,N31,Female,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Less,Not sure,Less,Less,Less,Less,Less,Less,Less
260,2024-12-20,2024,12,N31,Male,Millennials,Self employed/Contractor,Middle Income,More,More,Not sure,Same,Less,Not sure,Less,Less,Less,Less,Less,Same,Same
261,2024-12-20,2024,12,N31,Male,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Not sure,More,More,Less,Less,More,More,More
262,2024-12-20,2024,12,N31,Female,Gen X,Self employed/Contractor,Middle Income,More,More,More,Same,Less,Not sure,Less,Less,Less,Less,Same,Same,Same
263,2024-12-20,2024,12,N31,Male,Baby Boomers,Self employed/Contractor,Middle Income,More,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less,Less
264,2024-12-20,2024,12,N34,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
265,2024-12-20,2024,12,N34,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Less,Less,Less,Less,Less,Less,Less
266,2024-12-20,2024,12,N34,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Not sure,Less,Same,Same,Same,Same,Same,Same,Same
268,2024-12-20,2024,12,N34,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
269,2024-12-20,2024,12,N34,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Not sure,Same,Less,Less,Less,Less,Less,Same,Same
270,2024-12-20,2024,12,N34,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
271,2024-12-20,2024,12,N34,Female,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Not sure,Less,Less,Less,Less,Less,Less,Less
272,2024-12-20,2024,12,N34,Male,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
273,2024-12-20,2024,12,N34,Female,Gen X,Self employed/Contractor,Low Income,Same,Same,Same,Same,Same,Not sure,Same,Same,Same,Same,Same,Same,Same
274,2024-12-20,2024,12,N34,Female,Millennials,Business owner,Low Income,Same,Same,Same,Same,Same,Less,Same,Same,Less,Less,Same,Same,Same
275,2024-12-20,2024,12,N34,Male,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Not sure,Less,Less,Less,Less,Less,Less,Less
276,2024-12-20,2024,12,N34,Female,Millennials,Unemployed,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
277,2024-12-20,2024,12,N34,Male,Gen X,Business owner,Middle Income,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less
278,2024-12-20,2024,12,N34,Female,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
279,2024-12-20,2024,12,N35,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,Less,Not sure,More,More,Less,Same,More,Same,Same
280,2024-12-20,2024,12,N35,Male,Gen Z,Salaried employee,Middle Income,More,Same,More,Same,Same,Not sure,Not sure,Not sure,Less,Less,Not sure,Same,Less
281,2024-12-20,2024,12,N35,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Not sure,Not sure,Not sure,Less,Less,Not sure,Same,Same
282,2024-12-20,2024,12,N35,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,Less,Not sure,Same,Same,Less,Same,More,More,Less
283,2024-12-20,2024,12,N35,Female,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Not sure,Same,More,Less,Same,More,Same,Same
284,2024-12-20,2024,12,N35,Female,Gen X,Business owner,Middle Income,Same,More,Same,More,Less,Not sure,Same,Same,Not sure,Same,More,Same,Same
285,2024-12-20,2024,12,N35,Female,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Less,Not sure,Same,Same,Same,Same,Same,Same,Same
286,2024-12-20,2024,12,N35,Female,Gen Z,Student,Low Income,Same,Same,More,Less,Less,Not sure,More,More,Less,Less,Same,More,Same
287,2024-12-20,2024,12,N35,Male,Gen Z,Student,Low Income,Same,Same,Same,Same,Less,Not sure,Not sure,Not sure,Less,Same,Not sure,Same,Same
288,2024-12-20,2024,12,N35,Female,Baby Boomers,Unemployed,High Income,Same,Same,More,Less,Same,Not sure,Same,Same,Less,Same,Same,Same,Same
289,2024-12-20,2024,12,N35,Male,Baby Boomers,Unemployed,High Income,Same,Same,Same,More,Less,Not sure,Not sure,Not sure,Not sure,Same,Not sure,Same,Same
290,2024-12-20,2024,12,N35,Female,Millennials,Stay-at-home mom or dad,High Income,More,More,More,More,Less,Not sure,More,More,Same,Same,More,Same,Same
291,2024-12-20,2024,12,N35,Male,Gen X,Business owner,High Income,Same,Same,Same,Same,Less,Not sure,Not sure,Not sure,Not sure,Same,Not sure,Same,Same
292,2024-12-20,2024,12,N35,Male,Gen X,Self employed/Contractor,High Income,More,More,More,More,Less,Not sure,Same,Not sure,More,Same,Not sure,More,More
293,2024-12-20,2024,12,N35,Male,Millennials,Self employed/Contractor,High Income,Same,Same,Same,Same,Less,Not sure,Not sure,Not sure,Less,Less,Not sure,Same,Same
294,2024-12-20,2024,12,N36,Male,Millennials,Salaried employee,Middle Income,Same,More,Same,More,Less,Not sure,Not sure,Not sure,Less,Less,Not sure,More,Same
295,2024-12-20,2024,12,N36,Male,Gen Z,Salaried employee,Middle Income,More,Same,More,More,Less,Not sure,Not sure,Not sure,Less,Less,Not sure,Same,Same
296,2024-12-20,2024,12,N36,Male,Millennials,Salaried employee,Middle Income,More,Same,More,Same,Less,Not sure,Not sure,Not sure,Less,Less,Not sure,Less,Same
297,2024-12-20,2024,12,N36,Female,Millennials,Salaried employee,Middle Income,Same,More,Same,More,More,Not sure,More,Same,Not sure,Same,More,Same,Less
298,2024-12-20,2024,12,N36,Male,Gen X,Salaried employee,Middle Income,More,Same,More,More,Not sure,Not sure,Not sure,Not sure,Less,Same,Not sure,Same,Less
299,2024-12-20,2024,12,N36,Female,Gen X,Salaried employee,Middle Income,More,Same,Same,Less,Less,Not sure,Same,Same,Less,Same,Not sure,Same,Same
300,2024-12-20,2024,12,N36,Female,Millennials,Stay-at-home mom or dad,Middle Income,More,More,More,More,Same,Not sure,More,More,Same,Same,More,More,Same
301,2024-12-20,2024,12,N36,Female,Gen Z,Unemployed,Low Income,More,Same,More,More,Not sure,Not sure,Same,Same,Not sure,Same,More,Same,Less
302,2024-12-20,2024,12,N36,Female,Gen Z,Stay-at-home mom or dad,Middle Income,More,Same,More,Same,Less,Not sure,More,Same,Less,Less,More,Same,Less
303,2024-12-20,2024,12,N36,Female,Baby Boomers,Unemployed,High Income,More,Same,More,Same,Same,Not sure,Same,Same,Less,Same,Same,Same,Less
304,2024-12-20,2024,12,N36,Male,Baby Boomers,Unemployed,High Income,More,Same,More,More,Same,Not sure,Not sure,Not sure,Less,Same,Not sure,Same,Same
305,2024-12-20,2024,12,N36,Male,Gen Z,Student,Middle Income,More,Same,More,Same,Less,Not sure,Not sure,Not sure,More,More,Not sure,More,Same
306,2024-12-20,2024,12,N36,Female,Millennials,Self employed/Contractor,Middle Income,More,Same,More,Same,Less,Not sure,More,More,Less,Same,More,Same,Same
307,2024-12-20,2024,12,N36,Male,Gen X,Self employed/Contractor,High Income,Same,Same,Less,Same,Same,Not sure,Not sure,Not sure,Not sure,Same,Not sure,Same,Same
308,2024-12-20,2024,12,N36,Female,Gen X,Self employed/Contractor,Middle Income,More,Same,More,Same,Same,Not sure,Same,Same,Same,Same,Same,Same,Same
309,2024-12-20,2024,12,N4,Male,Millennials,Salaried employee,Middle Income,Same,Same,More,Less,Same,Less,Less,Less,Less,Less,Less,Less,Less
310,2024-12-20,2024,12,N4,Female,Millennials,Salaried employee,High Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
311,2024-12-20,2024,12,N4,Female,Millennials,Salaried employee,High Income,Same,Same,Same,Same,Same,Less,Same,Same,Less,Same,Same,Same,Less
312,2024-12-20,2024,12,N4,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Same,Less,Same,Not sure,Less,Less,Same
313,2024-12-20,2024,12,N4,Male,Millennials,Salaried employee,High Income,Same,Same,Same,Same,More,Same,Same,Same,Same,Same,Less,Same,Same
314,2024-12-20,2024,12,N4,Male,Millennials,Salaried employee,Middle Income,Same,More,More,Same,Same,Less,Same,Same,Same,Same,Same,Same,Same
315,2024-12-20,2024,12,N4,Female,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
317,2024-12-20,2024,12,N4,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less
318,2024-12-20,2024,12,N4,Female,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,More,Less,Less,Same,Less,Not sure,Less,Less,Less
319,2024-12-20,2024,12,N4,Male,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,Same,Less,Same,Same,Less,Not sure,Same,Same,Same
320,2024-12-20,2024,12,N4,Female,Gen Z,Salaried employee,High Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
321,2024-12-20,2024,12,N4,Female,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Less,Less,Less,Same,Less,Less,Same,Less
322,2024-12-20,2024,12,N4,Male,Gen Z,Salaried employee,Middle Income,Same,Same,Same,More,Less,Same,Same,Same,Less,Less,Same,Same,Same
323,2024-12-20,2024,12,N4,Female,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Same,Same,Same,Same,Same,Same,Same
